"Sign Up","Créer un compte"
"Sign in","Se connecter"
"Days in Wishlist","Jours dans la liste de Shopping"
"There are no items in customer's wishlist at the moment","Aucun article dans la liste de Shopping du client"
"Wishlist","Liste de Shopping"
"Wishlist - %d item(s)","Liste de Shopping - %d article(s)"
"%s item(s) in your cart","%s articles(s) dans votre panier"
"CREATE NEW CUSTOMER ACCOUNT","CREEZ VOTRE COMPTE CLIENT"
"Creating an account is easy. Just fill in the form below.","C'est facile, remplissez juste le formulaire ci-dessous."
"If you have an account, sign in with your email address.","Si vous avez déjà un compte, connectez-vous avec votre adresse e-mail."
"Choose a password","Choisissez un mot de passe"
"Load more","En voir plus ?"
"Additional","Informations"
"Cart Subtotal","Sous total"
"Total item","Articles"
"Price Filter","Filtrer"
"View and edit cart","Editer le panier"
"Clear Cart","Vider le panier"
"SKU: ","Ref: "
"Languages","Langues"
"Characteristics","Caractéristiques"
"More in %s...","Voir la suite de %s..."
